id,name_ko,name_en,brewery_ko,brewery_en,awards_ko,awards_en,ingredients_ko,ingredients_en,description_ko,description_en
debc3cc0-b172-474b-aeb3-81236186653c,달,Dal,별빛드리운못,Byeolbitderiunmot,,,정제수|쌀|누룩(밀누룩 - 조국),Purified water|Rice|Wheat nuruk,새콤하고 달콤하며 쌉싸름한 맛이 조화를 이루고 곡식향과 천연 탄산 감이 어우러진 막걸리,"Balanced tart, sweet, and faintly bitter notes with grain aromas and natural carbonation."
7f9d08c4-c9a7-460c-b70e-c7adcd86fa61,본,Bon,두루미양조장,Durumi Brewery,2023 대한민국 주류대상|2022 대한민국 주류대상,2023 Korea Liquor Awards|2022 Korea Liquor Awards,국|쌀|효모|정제수,Rice koji|Rice|Yeast|Purified water,"달콤한 바나나향과 향긋한 참외 향, 혀 끝에 닿아 밀려오는 향기 품은 달콤한 막걸리",Sweet makgeolli with banana and Korean melon aromas.
f17d8970-9254-4d2a-88d4-e82953d720f4,양,Yang,마마스팜,Mama's Farm,,,멥쌀|누룩|정제수|효모|개량누룩|산양삼건조분말,Non-glutinous rice|Nuruk|Purified water|Yeast|Modified nuruk|Dried wild ginseng powder,혈기왕성한 강원도 산양삼의 양기를 담아 만든 양 막걸리,Brewed with Gangwon wild ginseng for vigorous energy.
fa6443e6-99ed-443b-b6fd-bb718f57711b,음,Eum,마마스팜,Mama's Farm,,,멥쌀|누룩|정제수|효모|개량누룩|큰조롱덩이뿌리분말|칡가루|석류분말,Non-glutinous rice|Nuruk|Purified water|Yeast|Modified nuruk|Baeksuo root powder|Kudzu powder|Pomegranate powder,"강원도 홍천의 백수오와 칡, 석류의 음기를 담아 만든 음 막걸리","Infused with Hongcheon baeksuo, kudzu, and pomegranate."
de5c0556-0f7b-46a5-a4d2-0d085a1bcca1,해,Hae,리밋브루잉,Limit Brewing,2025 대한민국 주류대상,2025 Korea Liquor Awards,정제수|찹쌀|쌀|누룩,Purified water|Glutinous rice|Rice|Nuruk,,
70966968-97a6-4b38-adc0-36af6ff9cbe3,단홍,Danhong,서울효모방,Seoul Hyomobang,,,정제수|찹쌀|개량누룩|액상효모|유산균배양액|비트루트뿌리|냉동라즈베리|산초나무열매|히비스커스|우뭇가사리|포도당,Purified water|Glutinous rice|Modified nuruk|Liquid yeast|Lactobacillus culture|Beetroot|Frozen raspberry|Sichuan pepper|Hibiscus|Agar|Glucose,"시선을 끄는 진한 루비색, 화려한 히비스커스와 화자오의 향, 새콤달콤한 맛이 특징으로, 탁주 장르의 고정관념을 뛰어넘기 위해 설계된 막걸리",Ruby-red takju with hibiscus and Sichuan pepper aromas and sweet-tart flavor — breaks takju conventions.
8b00b935-e087-4931-b15b-d63f0dff073b,달막,Dalmak,월광주조,Wolgwang Brewery,,,정제수|쌀|효모|국(누룩)|구연산(산도조절제),Purified water|Rice|Yeast|Rice koji|Citric acid,술을 거른 이후 물을 조금도 타지 않은 순수한 원주이며 오직 쌀 본연의 깊은 단맛을 살린 탁주로 걸쭉하면서 진한 맛을 느낄 수 있는 막걸리,"Undiluted takju showcasing rice's deep natural sweetness with a thick, rich body."
1e6f7ed7-cfc5-46e5-a8a6-7c97626e1328,담은,Dameun,1932포천일동막걸리,1932 Pocheon Ildong Makgeolli,2016 우리술 품평회 장려상,2016 Korean Traditional Liquor Competition Merit Award,쌀|효모|정제효소제|기타과당|정제수|젖산,Rice|Yeast|Refined enzyme|Fructose|Purified water|Lactic acid,"합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없으며, 백설기에서 느낄 수 있는 단향과 가벼운 질감에 다 먹고 난 옥수수대를 쪽 빨았을 때 느껴지는 단맛이 특징인 막걸리",No artificial sweeteners. Light body with baekseolgi sweetness and a corn-stalk finish.
759d0f13-f56c-4631-a9ac-0293e43691c5,라봉,Rabong,다도참주가,Dadochamjuga,2023 우리술 품평회 대상,2023 Korean Traditional Liquor Competition Grand Prize,정제수|쌀|한라봉과즙|올리고당|누룩|아스파탐|조제종국|효모,Purified water|Rice|Hallabong juice|Oligosaccharide|Nuruk|Aspartame|Prepared koji culture|Yeast,적당한 산미가 깔끔한 마무리를 더해주고 마치 음료처럼 계속 마시게 되는 맛으로 젊은 감성에 맞춘 막걸리,"Clean acid finish with juice-like drinkability, tuned for younger palates."
0d6ee345-4c7c-4739-9ccd-fc2b7783f98b,망상,Mangsang,더담,Deodam,2025 대한민국 주류대상,2025 Korea Liquor Awards,정제수|찹쌀|멥쌀|누룩,Purified water|Glutinous rice|Non-glutinous rice|Nuruk,,
